شامل	167
فلم	166
کلونو	166
دين	166
سیمه	165
ورځې	165
پښتون	165
ماشوم	165
عمومي	165
هجري	164
ابادي	164
همدغه	164
هـ	164
تور	163
کیږی	163
زياته	162
کاوه	162
جگړې	162
غونډال	161
مواد	161
عنه	161
خبر	161
هره	161
پېژندل	161
دهغه	161
لومړی	161
يادېږي	159
ټوله	159
غاړه	158
رول	158
افغاني	158
كار	158
پنجاب	158
نېټه	158
څنگ	158
موادو	157
وزارت	157
مقابل	157
اخته	157
ورکول	157
سو	156
هکله	156
امریکا	155
مرکزي	155
ډېرې	154
پېښور	154
چېک	153
دومره	153
بانک	153
سلطان	153
ددغه	152
جگړه	152
اخيستل	151
سیاسي	151
پلازمېنه	151
اړوند	151
لار	151
ايران	150
جان	150
سیستم	150
لومړنۍ	150
وگړ	149
ادب	149
يـې	149
وسيله	149
سوه	149
ځيني	148
ادارې	148
ځواکونو	147
واکمنۍ	147
رامنځته	146
پښتانه	145
لامل	145
گڼ	145
کم	145
راغلي	145
وشوه	144
دوره	144
ليکل	143
هیواد	143
شويدي	143
اړتيا	143
ټولنه	143
كړه	142
اوبه	142
اباد	142
الوتکې	142
منځته	142
درمل	142
زېږدي	142
سردار	142
پای	141
نړيوال	141
مينه	141
استعمال	141
کارول	140
نادر	140
ویل	140
اقتصاد	139
طالبانو	139
ښوونځي	139
ول	139
فکر	138
نوې	138
متره	138
ليدل	138
ـ	138
توکي	138
لړ	138
عبدالله	136
جمهوريت	136
ځكه	136
توکو	136
کوی	136
متحده	136
کور	136
سپين	136
ژويو	136
خدای	135
کښي	135
راډيو	135
وجود	135
ورڅخه	134
بولي	134
ياد	134
رامنځ	134
پخواني	134
آباد	133
دوي	133
وزير	133
سی	132
معلومات	132
يوناني	132
ځمکې	132
درلوده	131
عمل	131
یوې	131
لوړو	131
محمود	131
فلسفه	130
سيستم	130
آی	130
گټه	130
درجه	130
څېر	130
عالم	129
اثارو	129
حق	129
ابو	129
هوا	129
علامه	128
ښاغلي	128
هغوي	128
پواسطه	128
سورة	128
اثار	127
وويل	127
رڼا	127
ډاکټر	127
ع	126
دوهم	126
هرات	126
مگر	126
ځاي	126
پنځه	126
اساس	126
اصطلاح	125
شا	125
نورې	125
دري	125
كړ	125
راوړي	124
شاوخوا	124
نومونه	124
ننگرهار	124
همدارنګه	124
غلام	124
وزن	124
لغمان	123
مصر	123
موجود	123
کتابونه	123
بدلون	123
ياديږي	123
علومو	123
نوی	122
ميلادي	122
اصل	122
ليک	122
جنس	122
دولتي	122
ا	122
وټاکل	122
ليکنه	121
خاطر	121
مذهب	121
آسيا	121
زوى	121
پوه	121
ترڅو	120
دواړه	120
جوړې	120
مختلفو	120
روسي	119
پېر	119
کسانو	119
لوى	119
هيل	119
لمر	119
بوټو	119
همداراز	118
سيند	118
ډولونه	118
وينې	118
دواړو	118
وړاندي	118
اخیستل	118
کره	118
ښکاري	118
ولسمشر	118
ټولې	117
ډگر	117
چېکي	117
ځمکه	117
ددي	117
امام	116
هندوستان	116
ایران	116
دويم	116
اخلي	116
لنډه	116
خورا	116
جوړېږي	116
هېڅ	115
کلمه	115
پخوانی	115
مالي	115
اوپه	115
وينا	115
در	115
مساحت	114
ملگرو	114
پير	114
پېغام	114
غړي	114
کا	114
جمهوریت	114
نړیوال	114
زیات	113
مقاومت	113
اوسني	113
نوموړې	113
موضوع	113
قرآن	113
بند	112
ورکړ	112
دننه	112
ان	112
څانگه	112
ډيره	112
پسې	112
ټاکل	112
ځواک	111
بکتريا	111
ناروغيو	111
شوروي	111
پخپله	111
اتحاد	111
لنډ	111
بشپړ	111
هماغه	111
باندی	111
شرکت	110
ساده	110
پوهنځي	110
پرتله	110
صلى	110
لرغونو	110
بوخت	109
سازمان	109
اود	109
غير	109
مړ	109
چارې	109
واک	108
سياست	108
جرمني	108
غړو	108
نومونو	108
کومه	107
وګړي	107
یوازې	107
خوله	107
شمېرل	107
افغانانو	107
مونږ	107
اساسي	106
تاریخ	106
شمیر	106
پېل	106
منځنۍ	106
فلسفې	106
لاسته	106
دود	106
مګر	106
هغوى	105
ناروغ	105
شهرت	105
پراخه	105
نږدې	105
مېرمن	105
طب	104
وشي	104
غیر	103
کونړ	103
مالومات	103
مرغانو	103
غږ	103
ښکاره	102
دوى	102
ئي	102
شخصي	102
توپير	102
خيبر	102
توليد	102
وسله	102
کسان	102
ورو	101
ملاتړ	101
با	101
خپرونې	101
سفر	101
ورور	101
زرو	100
المان	100
مولانا	100
لس	100
ملتونو	100
درملنه	100
ددی	99
ژر	99
حسن	99
موقعیت	99
کړى	99
سمندر	99
بلکې	99
يادونه	99
پوهانو	99
هنر	99
نوموړى	99
څښتن	99
ه	98
ورکړل	98
لومړنی	98
مذهبي	98
خلكو	98
افريقا	98
ځي	98
ځانگړې	98
دئ	98
جنرال	98
لړليک	97
سيمي	97
شنه	97
پاڅون	97
كوم	97
ليکنې	97
مشرانو	97
زېږېدلی	97
يواځې	97
بر	97
يعني	97
واده	97
څنگه	97
ولي	96
پوهې	96
لومړني	96
ملت	96
شعرونه	96
ورځو	96
مخامخ	96
بيت	96
لرې	96
بېرته	96
خوري	96
ځینې	95
وينه	95
هوايي	95
ځواب	95
مياشتې	95
مشهورو	95
پلوه	95
هنري	95
سخت	94
السلام	94
نتيجه	94
څېړنې	94
عملي	94
طبيعي	94
حقيقت	93
څومره	93
مړينې	93
انرژي	93
لویه	93
لړۍ	93
سیمې	93
غور	93
کوله	92
چین	92
ونډه	92
شين	92
انساني	92
څرنگه	92
شيخ	92
هڅه	92
مولوي	92
مشهوره	91
روان	91
خېل	91
دوام	91
زنجپيل	91
کلمې	91
واکمني	91
ادبياتو	91
ختیځ	91
ووژل	91
اعلان	91
شماري	91
تېر	91
سترگو	91
پرمختگ	91
مقام	91
څانگې	91
کچې	91
حاصل	91
څنګ	90
ليکلي	90
اړونده	90
وكړه	90
شويو	90
جګړې	90
قوم	90
ورکړه	90
بدل	90
جګړه	90
لرونکو	90
تو	90
کېده	90
وار	90
مسلمانان	89
تړون	89
پراگ	89
بشپړه	89
عرب	89
معنی	89
سربېره	89
خوندي	89
حبيب	88
هلمند	88
دافغانستان	88
اداري	88
بازار	88
ولس	88
ماده	88
اړ	88
کو	88
دفاع	88
تا	87
دۍ	87
جون	87
ګوند	87
استفاده	87
ژوندي	87
مل	87
سترگې	87
کېدو	87
بهير	87
ځانته	87
نيسي	87
وګړو	87
باب	86
کے	86
ارواښاد	86
ميوه	86
ويلي	86
نړی	86
جهاد	86
ښځو	86
فرانسوي	86
ډیره	86
يم	86
کلن	86
رنګ	86
مثال	86
زور	86
مسلمانانو	85
جنگي	85
بلکه	85
پرمخ	85
ابراهيم	85
رسيږي	85
خلاف	85
لوړې	85
باور	85
ددوی	84
خواته	84
باغ	84
وييل	84
پوهنې	84
حقوقو	84
ماشومانو	84
جنوب	84
اوږدوالي	84
سل	84
سرته	84
حل	84
واکمن	84
كولو	84
غواړي	84
لرونکی	84
لرغونې	83
كتاب	83
تلويزيون	83
اروپايي	83
پور	83
ونو	83
خاورې	83
بېلو	83
صنعت	83
پاى	83
پیدا	83
لدې	83
ضرورت	83
مهمه	83
ورکړي	82
گرځي	82
عراق	82
طريقه	82
ملک	82
لومړى	82
سند	82
پېښې	82
بلخ	82
ډلو	82
احمدشاه	82
توري	82
انتي	82
جلال	82
ځانګړي	81
وكړ	81
څلورو	81
سوري	81
اوږده	81
خپور	81
غر	81
نبات	81
ای	81
تقریبا	81
عام	81
سانتي	81
غازي	81
راغلې	80
وختونو	80
بېلا	80
بلوچستان	80
ښاغلی	80
کالو	80
زېږيز	79
اړخ	79
لويو	79
بدخشان	79
دره	79
پيوند	79
ثبت	79
حاجي	79
واقع	79
وېشل	79
پوښ	79
اې	79
ي	79
جولای	79
واټن	79
قبيلې	79
ځله	79
اسلامی	79
نښې	78
نوري	78
موزيم	78
س	78
من	78
هيڅ	78
برید	78
ګټه	78
پوهاند	78
موقعيت	78
يعنې	78
ځايه	78
بحث	78
مټ	78
زيارت	78
خيل	77
پوری	77
لو	77
رحمه	77
پوښتنې	77
پدي	77
پاڼه	77
میلیونه	77
كاله	77
اؤ	76
حرکت	76
ترتيب	76
والو	76
وگړي	76
بهر	76
آثار	76
ساتل	76
غوښتنه	76
نشي	76
سندرې	76
اس	76
غرونو	76
مخنيوي	76
مېنځ	76
سږو	76
عامه	76
تړاو	76
روزنې	75
موندل	75
کښی	75
خاوند	75
حسين	75
نفوس	75
تېره	75
لیکل	75
يانې	75
لرونکې	75
جنگ	75
جلا	75
پايله	75
شورا	75
عالي	75
تخم	75
خاوره	75
معلوماتو	75
وال	74
خوځښت	74
يوځای	74
بيلا	74
نشته	74
کوونکي	74
کورنيو	74
